"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"Arcn1",7481,13944,13205,15050,14360,14015,13031,13969
"Areg",86,109,100,124,138,91,110,127
"Arel1",1346,2709,2641,2620,3006,2887,2847,2882
"Arf1",12929,24093,26116,24322,23457,23325,24277,24018
"Arf2",2447,4432,4909,4711,4651,4366,4230,4234
"Arf3",5350,10274,10386,10309,10066,10308,11245,10363
"Arf4",10541,18179,19863,20259,18224,18278,17693,18873
"Arf5",1991,3414,3962,3663,3257,3105,2927,3181
"Arf6",2677,5498,4554,5498,5413,5243,4887,5174
"Arfgap1",2086,4160,4034,4005,4072,3744,3786,3748
"Arfgap2",2469,4540,4764,4649,4403,4259,4392,4447
"Arfgap3",3378,6687,6971,6569,6748,7300,7215,6598
"Arfgef1",896,2968,2023,2251,2519,2707,2546,2541
"Arfgef2",1148,2738,2481,2615,2966,3361,3860,3372
"Arfgef3",1,1,0,1,0,3,1,0
"Arfip1",2275,4740,4077,5124,5067,5147,4368,4685
"Arfip2",1073,1999,2187,2113,2038,2032,2100,2052
"Arfrp1",647,1303,1429,1265,1234,1224,1405,1379
"Arg1",0,5,10,6,5,7,27,20
"Arg2",2,5,2,1,4,4,3,7
"Arglu1",904,1720,1688,1936,1831,1659,1606,1762
"Arhgap1",3147,5413,6659,6244,5431,4824,5196,5560
"Arhgap10",1430,2777,2798,2918,3004,3126,3301,3099
"Arhgap11a",1242,2096,1588,2320,2129,1186,936,1498
"Arhgap12",408,1176,842,1012,1150,1356,1213,1165
"Arhgap17",687,1374,1324,1385,1462,1502,1596,1347
"Arhgap18",330,880,528,717,840,1015,872,731
"Arhgap19",338,572,520,597,598,385,335,406
"Arhgap20",0,3,2,2,3,2,3,5
"Arhgap21",1654,3679,2935,3578,3807,3704,3299,3106
"Arhgap22",1700,3118,2474,2739,3034,2778,2863,2704
"Arhgap23",2098,3847,3926,4005,3806,3749,3764,3603
"Arhgap24",812,1628,1533,1579,1710,1965,2077,1889
"Arhgap25",1,0,1,2,1,1,0,2
"Arhgap26",26,84,58,45,106,128,163,136
"Arhgap27",14,20,15,20,9,16,17,14
"Arhgap28",1527,2817,3438,3326,2942,2734,2387,2655
"Arhgap29",1566,4595,2359,3446,4600,5335,4391,3593
"Arhgap30",0,3,1,1,2,1,1,0
"Arhgap31",1425,2592,2299,2739,2840,2689,2577,2316
"Arhgap32",420,856,626,812,868,819,774,781
"Arhgap33",98,209,137,172,199,234,221,210
"Arhgap35",2667,5383,4690,5085,5942,5440,5786,5344
"Arhgap39",451,861,905,871,877,794,876,831
"Arhgap4",5,13,13,10,11,16,21,9
"Arhgap42",1343,3329,2778,3287,3206,3054,2452,2616
"Arhgap44",235,547,445,411,563,594,750,729
"Arhgap5",301,1011,673,649,1020,1225,1264,1172
"Arhgap6",9,33,11,14,28,42,19,17
"Arhgap8",0,1,2,0,1,0,0,3
"Arhgap9",5,18,11,9,12,7,3,10
"Arhgdia",16471,30857,31319,30243,30026,29903,30292,29116
"Arhgdib",2028,4568,5004,4331,4207,4998,5628,4911
"Arhgdig",100,154,146,171,150,131,83,144
"Arhgef1",1624,2918,2960,2945,3063,2861,3148,3015
"Arhgef10",1911,3849,3154,3513,4176,4514,4357,3766
"Arhgef10l",1343,3290,3063,2675,3241,3798,3907,3188
"Arhgef11",920,1919,1624,1643,1895,1825,2065,1912
"Arhgef12",2533,5454,3997,5037,5957,5869,5681,5351
"Arhgef15",10,25,12,21,27,29,27,31
"Arhgef16",0,0,2,1,1,0,0,1
"Arhgef17",3479,6926,6497,6697,6786,6582,6504,6038
"Arhgef18",920,1930,1919,1829,1810,1969,2121,1928
"Arhgef19",1815,3093,3156,3167,2947,2786,2532,2759
"Arhgef2",8844,18288,18213,17273,19070,19514,19507,18105
"Arhgef25",1810,3353,3144,3400,3342,3376,3165,3108
"Arhgef26",208,286,317,379,323,244,194,281
"Arhgef28",23,35,38,38,31,36,54,67
